# z mu sigma
1.308088 19.997814 0.123202
1.308836 19.713418 0.123226
1.308925 19.930796 0.123229
1.309045 19.982820 0.123233
1.309162 19.966836 0.123237
1.309832 20.016640 0.123258
1.309894 19.880779 0.123260
1.310301 19.822893 0.123273
1.310383 19.898786 0.123276
1.310497 19.838726 0.123280
1.310790 19.982991 0.123289
1.310944 19.848761 0.123294
1.310945 20.226759 0.123294
1.310961 20.044215 0.123295
1.311932 19.902459 0.123326
1.312045 19.951720 0.123329
1.312291 19.923594 0.123337
1.312511 19.906163 0.123344
1.312840 19.789832 0.123355
1.312956 20.044546 0.123359
1.313066 19.875390 0.123362
1.313106 19.842925 0.123364
1.313334 19.991915 0.123371
1.313344 19.981201 0.123371
1.313527 19.906160 0.123377
1.313880 20.120360 0.123389
1.314112 19.758921 0.123396
1.314207 19.819400 0.123399
1.314776 19.869535 0.123417
1.314896 19.972719 0.123421
1.315107 19.716711 0.123428
1.315167 19.703013 0.123430
1.315436 19.842011 0.123439
1.315482 19.726873 0.123440
1.315553 19.859642 0.123442
1.315567 19.849883 0.123443
1.316218 19.945554 0.123464
1.316347 19.773295 0.123468
1.316385 19.708562 0.123469
1.316469 19.941667 0.123472
1.316711 20.177961 0.123480
1.316773 19.787883 0.123482
1.317188 20.016454 0.123495
1.317407 20.049131 0.123502
1.317555 19.907897 0.123507
1.317727 19.801044 0.123513
1.317819 20.143714 0.123515
1.318165 19.995008 0.123527
1.318738 19.739137 0.123545
1.319214 19.980850 0.123560
1.319417 20.058679 0.123567
1.320507 19.708593 0.123602
1.321338 20.183430 0.123629
1.321423 19.796850 0.123632
1.321440 19.884482 0.123632
1.321452 20.009969 0.123633
1.322245 19.861047 0.123658
1.322730 19.835972 0.123674
1.322857 19.750954 0.123678
1.322934 19.949375 0.123681
1.323537 19.885251 0.123700
1.323664 19.878366 0.123704
1.324152 19.799123 0.123720
1.324275 19.922744 0.123724
1.324680 20.045226 0.123737
1.324960 19.672098 0.123746
1.325062 19.955135 0.123750
1.325281 20.009243 0.123757
1.325507 19.983003 0.123764
1.325593 19.621294 0.123767
1.325886 19.831677 0.123776
1.326150 19.805050 0.123785
1.326158 19.935893 0.123785
1.326203 20.100579 0.123786
1.326447 19.843316 0.123794
1.327083 20.113669 0.123815
1.327216 20.152979 0.123819
1.327429 20.189760 0.123826
1.327857 19.668993 0.123840
1.328360 20.028631 0.123856
1.328388 20.101692 0.123857
1.328424 19.871437 0.123858
1.328436 19.898834 0.123859
1.328577 19.838425 0.123863
1.328818 20.155913 0.123871
1.328849 19.907552 0.123872
1.328856 19.866661 0.123872
1.329439 19.920308 0.123891
1.329622 19.834313 0.123897
1.329745 20.172861 0.123901
1.330061 19.984366 0.123912
1.330497 19.981108 0.123926
1.330716 19.695604 0.123933
1.330993 19.982696 0.123942
1.331062 19.985579 0.123944
1.331362 20.022682 0.123954
1.332442 20.016726 0.123989
1.333111 19.869978 0.124011
1.333393 19.871448 0.124020
1.333393 19.933320 0.124020
1.333422 19.825590 0.124021
1.333640 19.924668 0.124028
1.333744 19.953072 0.124031
1.333815 19.674926 0.124034
1.334179 19.907043 0.124045
1.334327 20.155490 0.124050
1.334408 19.632489 0.124053
1.334408 20.040762 0.124053
1.334535 20.031408 0.124057
1.334599 19.892991 0.124059
1.334870 19.906812 0.124068
1.335061 20.101894 0.124074
1.335068 19.567587 0.124074
1.335744 20.040982 0.124096
1.335780 19.932604 0.124097
1.335912 19.707118 0.124102
1.335951 19.914033 0.124103
1.336130 19.936778 0.124109
1.336492 20.002200 0.124121
1.336600 19.925454 0.124124
1.336813 19.942770 0.124131
1.337472 19.888513 0.124153
1.337473 20.218562 0.124153
1.337746 19.915457 0.124161
1.337829 19.750080 0.124164
1.337844 19.912025 0.124165
1.338061 20.106557 0.124172
1.338953 19.876487 0.124201
1.339178 20.092183 0.124208
1.339216 20.028998 0.124209
1.339498 19.837398 0.124219
1.339913 19.978097 0.124232
1.339988 19.767006 0.124235
1.340093 20.052918 0.124238
1.340121 19.810937 0.124239
1.340164 19.973424 0.124240
1.340355 19.752284 0.124247
1.340629 20.054260 0.124255
1.340686 20.175521 0.124257
1.340705 19.973810 0.124258
1.340737 20.034847 0.124259
1.340740 20.129671 0.124259
1.340853 19.943665 0.124263
1.341043 20.039856 0.124269
1.341057 20.059673 0.124269
1.341164 19.841889 0.124273
1.341266 19.863882 0.124276
1.341330 20.031806 0.124278
1.341492 19.928610 0.124284
1.341542 20.008774 0.124285
1.341623 20.040553 0.124288
1.341648 20.101327 0.124289
1.341718 20.099751 0.124291
1.342386 19.962110 0.124313
1.342439 19.964908 0.124315
1.342439 19.921977 0.124315
1.342557 19.942557 0.124318
1.343212 19.946221 0.124340
1.343258 19.876675 0.124341
1.343560 19.889808 0.124351
1.343709 19.947330 0.124356
1.343804 19.961336 0.124359
1.344179 19.802139 0.124371
1.344434 19.848642 0.124380
1.344649 19.961899 0.124387
1.344692 20.060561 0.124388
1.344821 19.903168 0.124392
1.344945 19.945261 0.124396
1.345478 19.864719 0.124414
1.345770 19.863431 0.124423
1.346056 20.195870 0.124433
1.346078 20.063609 0.124433
1.346103 20.032122 0.124434
1.346308 19.790225 0.124441
1.346338 20.167314 0.124442
1.346673 19.962197 0.124453
1.346896 19.865283 0.124460
1.347282 20.145233 0.124473
1.347623 20.036926 0.124484
1.348181 20.110362 0.124502
1.348524 19.835332 0.124513
1.348545 19.843864 0.124514
1.348949 19.816729 0.124527
1.349190 20.027389 0.124535
1.349282 20.092595 0.124538
1.349660 20.022084 0.124551
1.349803 20.129190 0.124555
1.349976 20.068340 0.124561
1.350153 19.836202 0.124567
1.350323 20.035405 0.124572
1.350409 20.027345 0.124575
1.350500 19.832887 0.124578
1.350695 20.049598 0.124585
1.350799 19.741801 0.124588
1.350978 20.002508 0.124594
1.350988 19.906934 0.124594
1.351135 20.021710 0.124599
1.351258 19.970271 0.124603
1.351273 19.892478 0.124604
1.352222 19.798357 0.124635
1.352505 20.009881 0.124644
1.352506 20.076994 0.124644
1.352633 19.900031 0.124648
1.352840 19.992791 0.124655
1.352947 19.952637 0.124658
1.354228 19.943822 0.124701
1.354593 19.834455 0.124712
1.354603 19.951692 0.124713
1.354646 19.783143 0.124714
1.354651 19.922850 0.124714
1.354843 20.006916 0.124721
1.354967 20.041311 0.124725
1.355411 19.684038 0.124739
1.356055 19.949884 0.124761
1.356226 19.963266 0.124766
1.356227 20.095503 0.124766
1.356345 19.963877 0.124770
1.357112 19.881668 0.124795
1.357123 20.168384 0.124796
1.357529 19.951336 0.124809
1.357637 20.005605 0.124813
1.357690 20.043098 0.124814
1.357778 20.091651 0.124817
1.357860 20.126416 0.124820
1.357961 20.087339 0.124823
1.358806 19.991933 0.124851
1.360157 19.881811 0.124895
1.360247 19.889357 0.124898
1.360402 20.311906 0.124904
1.360695 20.098804 0.124913
1.361327 20.130312 0.124934
1.361490 20.124254 0.124939
1.361620 20.019258 0.124944
1.361868 19.964081 0.124952
1.362032 19.806781 0.124957
1.362317 19.867726 0.124967
1.362379 19.840186 0.124969
1.362732 20.209418 0.124980
1.363077 20.163388 0.124992
1.363156 19.951601 0.124994
1.363459 20.016855 0.125004
1.363471 20.032356 0.125005
1.363650 19.847004 0.125011
1.363672 19.854809 0.125011
1.364375 19.955552 0.125035
1.364570 20.179634 0.125041
1.364683 19.829971 0.125045
1.364899 19.906017 0.125052
1.364929 20.114494 0.125053
1.365086 20.051096 0.125058
1.365233 19.933495 0.125063
1.365250 20.121812 0.125063
1.365284 19.781309 0.125065
1.365302 20.023867 0.125065
1.365321 20.297752 0.125066
1.365604 20.133916 0.125075
1.365630 19.983005 0.125076
1.365635 19.996370 0.125076
1.365912 20.010824 0.125085
1.365927 20.039324 0.125086
1.366219 20.078766 0.125095
1.366404 20.077095 0.125101
1.366522 19.855659 0.125105
1.366807 20.035483 0.125115
1.366808 20.131199 0.125115
1.366834 20.014373 0.125116
1.367226 19.977891 0.125129
1.367794 20.121849 0.125147
1.367883 19.904487 0.125150
1.367905 19.985175 0.125151
1.368601 19.889025 0.125174
1.368801 20.075479 0.125181
1.368865 20.116203 0.125183
1.369910 20.115596 0.125217
1.369941 20.044290 0.125218
1.370310 19.909353 0.125231
1.370428 20.181801 0.125235
1.371531 19.909968 0.125271
1.371605 19.970142 0.125273
1.371698 20.230996 0.125277
1.371809 19.808250 0.125280
1.372058 20.200453 0.125288
1.372100 19.818600 0.125290
1.372249 20.022057 0.125295
1.372262 19.862808 0.125295
1.373247 19.973803 0.125328
1.373351 20.166090 0.125331
1.373374 19.887327 0.125332
1.373914 20.000044 0.125350
1.374150 19.768536 0.125358
1.374299 19.908880 0.125363
1.374445 20.063789 0.125368
1.375382 19.930398 0.125399
1.375404 19.972848 0.125399
1.375663 20.247470 0.125408
1.375872 20.171643 0.125415
1.376007 20.167594 0.125419
1.376249 20.038683 0.125427
1.376309 19.807943 0.125429
1.376586 19.943147 0.125439
1.378187 20.069339 0.125492
1.379050 20.064095 0.125520
1.379106 19.792149 0.125522
1.379411 20.029086 0.125532
1.379432 20.033619 0.125533
1.379469 20.190636 0.125534
1.379796 19.930174 0.125545
1.379826 20.026940 0.125546
1.379962 20.090302 0.125551
1.380214 20.154540 0.125559
1.380496 19.844651 0.125568
1.380665 20.023679 0.125574
1.381266 20.011372 0.125594
1.381345 20.158323 0.125597
1.381571 19.904391 0.125604
1.381654 20.016571 0.125607
1.381705 19.879008 0.125609
1.381734 20.073298 0.125610
1.382024 20.038567 0.125619
1.382256 20.152020 0.125627
1.382667 19.863880 0.125641
1.383143 20.130706 0.125656
1.383634 20.032473 0.125673
1.383768 20.197647 0.125677
1.383814 20.050418 0.125679
1.383856 19.949417 0.125680
1.383909 19.969453 0.125682
1.384208 19.974765 0.125692
1.384382 20.096637 0.125698
1.384575 20.124043 0.125704
1.385188 20.023914 0.125725
1.385207 20.132512 0.125725
1.385215 20.124583 0.125725
1.385274 19.807136 0.125727
1.385287 20.013245 0.125728
1.385890 20.059786 0.125748
1.386615 19.967343 0.125772
1.387698 19.880096 0.125808
1.387812 19.887507 0.125812
1.388001 19.957906 0.125818
1.388060 20.030374 0.125820
1.388121 20.116202 0.125822
1.388392 20.187228 0.125831
1.388878 19.987041 0.125848
1.389005 20.181397 0.125852
1.389164 20.355152 0.125857
1.389211 20.088895 0.125859
1.389259 19.967073 0.125860
1.389356 20.048909 0.125864
1.389741 20.209400 0.125876
1.389928 20.198999 0.125883
1.389988 19.976775 0.125885
1.390474 19.903500 0.125901
1.390520 20.004348 0.125902
1.390566 20.111583 0.125904
1.390923 20.176680 0.125916
1.391243 20.089721 0.125927
1.391447 20.018869 0.125933
1.391565 20.163991 0.125937
1.391970 19.869372 0.125951
1.392716 20.030485 0.125976
1.392817 20.113449 0.125979
1.392844 20.193550 0.125980
1.393080 20.152271 0.125988
1.393174 20.210800 0.125991
1.393448 20.138403 0.126000
1.393492 20.023167 0.126002
1.394354 20.044002 0.126031
1.394367 19.974523 0.126031
1.394414 19.984457 0.126033
1.394727 20.166424 0.126043
1.395001 19.923413 0.126052
1.395178 19.998163 0.126058
1.395306 19.891839 0.126062
1.395317 19.874587 0.126063
1.395354 20.080914 0.126064
1.395562 19.876435 0.126071
1.395843 20.431085 0.126080
1.396139 19.995296 0.126090
1.396261 20.147187 0.126094
1.396380 20.027993 0.126098
1.396635 20.098306 0.126107
1.397363 20.182960 0.126131
1.397453 19.994203 0.126134
1.397642 20.095623 0.126141
1.397773 20.086241 0.126145
1.397785 19.939856 0.126145
1.397813 20.191490 0.126146
1.397906 20.116257 0.126149
1.397915 19.981876 0.126150
1.398229 20.024589 0.126160
1.398784 19.947753 0.126179
1.399457 20.242002 0.126201
1.399493 19.982651 0.126203
1.399495 20.067554 0.126203
1.399944 20.148523 0.126218
1.399968 20.113301 0.126219
1.400081 19.951743 0.126222
1.400566 20.204002 0.126239
1.401378 20.121655 0.126266
1.401928 20.004709 0.126284
1.401958 19.951719 0.126285
1.402014 20.003532 0.126287
1.402742 20.085244 0.126312
1.402868 20.114013 0.126316
1.402926 19.882585 0.126318
1.403353 20.306899 0.126332
1.403458 20.222523 0.126336
1.403876 19.903462 0.126350
1.404080 19.927252 0.126357
1.404749 20.013671 0.126379
1.405140 19.893995 0.126392
1.405148 19.789508 0.126393
1.405254 19.928054 0.126396
1.405391 20.075279 0.126401
1.405594 20.087148 0.126408
1.405604 19.963635 0.126408
1.405669 19.885553 0.126410
1.406041 20.208190 0.126423
1.406272 20.086009 0.126430
1.406335 20.151315 0.126432
1.406473 20.078751 0.126437
1.406774 20.128940 0.126447
1.407498 20.225079 0.126472
1.407500 19.843047 0.126472
1.407861 19.818739 0.126484
1.407930 19.986341 0.126486
1.408182 20.017077 0.126495
1.408613 20.254882 0.126509
1.408641 19.798784 0.126510
1.409747 20.096209 0.126547
1.409876 20.216510 0.126552
1.410410 20.058286 0.126570
1.410523 20.068861 0.126573
1.410619 20.047043 0.126577
1.411076 20.262798 0.126592
1.411638 20.286209 0.126611
1.412664 20.040126 0.126646
1.412821 20.152050 0.126651
1.412974 20.012330 0.126656
1.413210 20.211427 0.126664
1.413799 20.253647 0.126684
1.413840 20.070100 0.126685
1.413989 20.106149 0.126690
1.414369 20.216789 0.126703
1.414423 20.115658 0.126705
1.415147 20.068366 0.126729
1.415499 20.118402 0.126741
1.415692 20.115108 0.126748
1.415761 20.098711 0.126750
1.416294 20.184733 0.126768
1.416444 20.096627 0.126773
1.416631 19.892473 0.126780
1.416994 19.971780 0.126792
1.417194 20.219462 0.126799
1.417352 20.168910 0.126804
1.417478 20.136343 0.126808
1.417683 20.111566 0.126815
1.417881 19.981375 0.126822
1.417922 20.052034 0.126823
1.417927 20.059113 0.126823
1.418245 20.093237 0.126834
1.418461 20.290993 0.126841
1.418764 19.936884 0.126852
1.418833 20.035894 0.126854
1.419382 20.370583 0.126873
1.419516 19.948334 0.126877
1.419519 20.051375 0.126877
1.420688 20.228073 0.126917
1.420699 20.224846 0.126917
1.420899 20.001824 0.126924
1.420930 20.143837 0.126925
1.421105 20.130311 0.126931
1.421660 20.054244 0.126950
1.422090 20.290961 0.126964
1.422167 20.229470 0.126967
1.422376 20.140983 0.126974
1.422670 19.967403 0.126984
1.422883 20.268503 0.126991
1.422949 20.043825 0.126993
1.423006 20.103415 0.126995
1.423100 20.061298 0.126998
1.423313 19.821729 0.127006
1.423371 20.075563 0.127008
1.423602 20.042986 0.127015
1.423833 20.042832 0.127023
1.423944 20.011179 0.127027
1.424053 20.354612 0.127031
1.424367 20.085146 0.127041
1.424464 20.057725 0.127045
1.424954 19.958758 0.127061
1.425227 20.003466 0.127071
1.425449 20.025482 0.127078
1.425453 19.916174 0.127078
1.425733 19.918035 0.127088
1.426051 19.965419 0.127098
1.426129 19.971871 0.127101
1.426322 20.125796 0.127108
1.426418 19.865947 0.127111
1.426599 20.160819 0.127117
1.426731 20.242817 0.127122
1.426748 20.041655 0.127122
1.426816 19.942516 0.127124
1.426858 20.192236 0.127126
1.427484 20.106294 0.127147
1.427565 20.000424 0.127150
1.427814 20.123343 0.127158
1.427840 20.265914 0.127159
1.427986 19.959102 0.127164
1.428043 20.025004 0.127166
1.428196 20.283616 0.127171
1.428518 20.094369 0.127182
1.428564 20.093495 0.127184
1.428815 20.067915 0.127192
1.429388 20.399335 0.127212
1.429418 20.225421 0.127213
1.429484 20.317231 0.127215
1.429680 20.303097 0.127222
1.429978 19.988422 0.127232
1.430375 20.119147 0.127245
1.430529 20.018765 0.127251
1.431387 20.014416 0.127280
1.431456 20.173764 0.127282
1.431499 20.197569 0.127284
1.431785 20.287071 0.127293
1.431806 19.966922 0.127294
1.431866 19.809857 0.127296
1.431868 20.025830 0.127296
1.433033 20.152625 0.127336
1.433472 19.916366 0.127351
1.434068 20.201099 0.127371
1.434197 20.217516 0.127375
1.434535 20.197138 0.127387
1.434816 20.345315 0.127396
1.435167 20.276987 0.127408
1.435216 20.258802 0.127410
1.435404 20.236380 0.127416
1.435792 19.972940 0.127430
1.435928 20.419057 0.127434
1.436109 20.131869 0.127440
1.436181 20.100408 0.127443
1.436351 20.438117 0.127449
1.437516 20.147441 0.127488
1.437787 20.151400 0.127498
1.437810 19.859366 0.127498
1.437870 20.085289 0.127500
1.438111 20.073037 0.127509
1.438129 20.409867 0.127509
1.438362 20.199811 0.127517
1.438469 20.008352 0.127521
1.438600 20.121609 0.127525
1.438995 20.100974 0.127539
1.439409 20.138128 0.127553
1.439577 20.133841 0.127559
1.439586 20.290427 0.127559
1.439939 20.106210 0.127571
1.440203 20.108021 0.127580
1.440575 20.305549 0.127593
1.440592 20.044034 0.127593
1.440890 20.131612 0.127604
1.443672 20.209117 0.127699
1.443775 20.159595 0.127702
1.443818 19.926234 0.127704
1.444204 20.176428 0.127717
1.444303 20.061990 0.127720
1.444409 20.187173 0.127724
1.444470 20.356890 0.127726
1.444846 20.273027 0.127739
1.445483 20.030351 0.127761
1.445579 20.268190 0.127764
1.445830 20.226341 0.127772
1.446172 20.140979 0.127784
1.446342 20.043281 0.127790
1.446540 20.186359 0.127797
1.446687 19.965876 0.127802
1.446782 20.215819 0.127805
1.447003 19.921041 0.127813
1.447117 20.111752 0.127816
1.447195 20.203439 0.127819
1.447338 20.160256 0.127824
1.447352 20.197268 0.127825
1.447371 20.058721 0.127825
1.447599 20.250751 0.127833
1.447696 19.846706 0.127836
1.447711 19.855906 0.127837
1.447769 19.918635 0.127839
1.447795 20.183131 0.127840
1.448196 20.237597 0.127853
1.448516 20.192019 0.127864
1.449038 20.393690 0.127882
1.449286 20.111482 0.127891
1.449459 19.857215 0.127897
1.449466 20.053476 0.127897
1.449669 20.156603 0.127904
1.449778 20.188032 0.127908
1.449936 20.259255 0.127913
1.449964 20.012785 0.127914
1.450045 19.962652 0.127917
1.450092 20.159545 0.127918
1.450176 20.148022 0.127921
1.450223 20.243347 0.127923
1.450425 20.216447 0.127930
1.450447 20.077923 0.127931
1.450712 20.304337 0.127940
1.450714 20.351078 0.127940
1.451158 20.301836 0.127955
1.451225 20.229580 0.127957
1.452054 20.358111 0.127986
1.452075 20.044405 0.127986
1.452139 20.358332 0.127989
1.452335 20.205774 0.127995
1.452661 20.222430 0.128006
1.452693 20.425932 0.128008
1.452965 20.384506 0.128017
1.453084 20.220763 0.128021
1.453103 20.015383 0.128022
1.453477 20.136684 0.128034
1.453502 20.088005 0.128035
1.453511 19.975166 0.128036
1.453875 19.915116 0.128048
1.454013 20.329782 0.128053
1.454315 20.032342 0.128063
1.454699 20.189137 0.128076
1.454937 20.055417 0.128085
1.454982 20.259724 0.128086
1.455172 20.181082 0.128093
1.455321 20.396956 0.128098
1.455447 20.003828 0.128102
1.455789 20.310011 0.128114
1.456222 20.281687 0.128129
1.456325 20.344027 0.128132
1.456474 19.903268 0.128137
1.456588 20.211445 0.128141
1.456695 19.973622 0.128145
1.457021 19.934512 0.128156
1.457066 20.284390 0.128158
1.457252 20.088792 0.128164
1.457668 20.072588 0.128178
1.457870 19.968251 0.128185
1.459276 20.266808 0.128234
1.459439 19.973288 0.128239
1.459504 20.274386 0.128242
1.459679 20.032431 0.128248
1.459747 20.284009 0.128250
1.459881 20.131362 0.128255
1.460008 20.245320 0.128259
1.460465 20.243272 0.128275
1.460730 20.222817 0.128284
1.461101 20.197173 0.128297
1.461155 20.187649 0.128298
1.461501 20.084122 0.128310
1.461557 20.424854 0.128312
1.461760 19.991252 0.128319
1.461831 20.189004 0.128322
1.461924 20.575317 0.128325
1.462086 20.059881 0.128331
1.462167 20.228197 0.128333
1.462868 20.207964 0.128358
1.463071 20.145917 0.128365
1.463216 20.317849 0.128370
1.463870 19.955103 0.128392
1.465088 20.158109 0.128434
1.465210 19.761924 0.128438
1.466154 20.056749 0.128471
1.466414 20.082391 0.128480
1.466666 20.198444 0.128489
1.467070 20.148234 0.128502
1.467083 20.485316 0.128503
1.467215 20.288221 0.128507
1.467368 20.173324 0.128513
1.467573 20.367609 0.128520
1.468166 20.279924 0.128540
1.468182 20.053457 0.128541
1.468321 20.243107 0.128546
1.468719 20.267680 0.128559
1.468767 20.307364 0.128561
1.468911 20.172292 0.128566
1.469029 20.124311 0.128570
1.469032 20.403723 0.128570
1.469223 20.256275 0.128577
1.469377 20.279896 0.128582
1.470161 20.409267 0.128609
1.470184 20.198261 0.128610
1.470318 20.512752 0.128615
1.470788 20.165412 0.128631
1.470803 19.915565 0.128631
1.470823 20.205371 0.128632
1.471022 20.133951 0.128639
1.471174 20.005101 0.128644
1.471265 20.027061 0.128647
1.471505 20.326700 0.128656
1.471585 20.211742 0.128658
1.471686 20.220008 0.128662
1.472290 20.377355 0.128683
1.473001 19.798498 0.128707
1.473105 20.262753 0.128711
1.473126 20.026543 0.128712
1.473587 20.033717 0.128728
1.473636 20.267114 0.128729
1.473674 20.135037 0.128731
1.474107 20.123411 0.128746
1.474380 20.242685 0.128755
1.474388 20.169087 0.128755
1.474836 20.255609 0.128771
1.475402 20.275844 0.128791
1.475421 20.218931 0.128791
1.476086 20.386115 0.128814
1.476112 20.222809 0.128815
1.476157 20.187725 0.128817
1.476211 20.016668 0.128819
1.476333 20.130008 0.128823
1.476931 20.260833 0.128844
1.477099 20.257346 0.128849
1.477106 20.136837 0.128850
1.477528 20.308110 0.128864
1.477621 20.073413 0.128868
1.477638 20.073279 0.128868
1.477838 20.330563 0.128875
1.478041 20.281867 0.128882
1.478124 19.978754 0.128885
1.478393 20.081650 0.128894
1.478473 20.277234 0.128897
1.478595 20.142300 0.128901
1.479009 20.236999 0.128916
1.479451 20.087650 0.128931
1.479537 20.241640 0.128934
1.479943 20.321110 0.128948
1.480134 19.988804 0.128955
1.480208 20.318585 0.128957
1.480304 20.097971 0.128961
1.480740 20.138488 0.128976
1.481112 20.122591 0.128989
1.481121 20.217985 0.128989
1.481175 20.095891 0.128991
1.481534 20.252125 0.129003
1.481659 20.224705 0.129008
1.482110 20.307559 0.129023
1.482268 20.181348 0.129029
1.482850 20.079591 0.129049
1.483159 20.272070 0.129060
1.483161 20.152272 0.129060
1.483224 20.104767 0.129062
1.483318 20.306002 0.129065
1.483365 20.304408 0.129067
1.483476 20.022414 0.129071
1.483897 20.202020 0.129085
1.483965 20.034935 0.129088
1.483976 20.089694 0.129088
1.484286 20.104677 0.129099
1.484322 20.267227 0.129100
1.484479 20.355007 0.129106
1.484632 20.253924 0.129111
1.484872 20.014939 0.129119
1.485784 20.263428 0.129151
1.485827 20.124361 0.129153
1.486144 20.267971 0.129164
1.486195 20.362666 0.129165
1.486244 20.187467 0.129167
1.486283 20.112713 0.129168
1.486471 20.322638 0.129175
1.486600 20.378465 0.129179
1.486819 20.278803 0.129187
1.487049 19.887619 0.129195
1.487157 20.053612 0.129199
1.487432 20.309830 0.129208
1.487504 20.388163 0.129211
1.487825 20.336817 0.129222
1.488529 20.126269 0.129247
1.488622 20.313012 0.129250
1.488755 20.311051 0.129254
1.488800 20.144735 0.129256
1.489387 20.222202 0.129276
1.489601 20.134450 0.129284
1.489887 20.453700 0.129294
1.490067 20.155680 0.129300
1.490657 20.075052 0.129321
1.490710 20.225889 0.129323
1.490751 20.151815 0.129324
1.491465 20.183023 0.129349
1.491654 20.152523 0.129355
1.492279 20.253814 0.129377
1.492333 20.340799 0.129379
1.492478 20.084043 0.129384
1.493182 20.177052 0.129409
1.493412 20.281093 0.129417
1.493569 20.207308 0.129422
1.493582 20.174767 0.129423
1.493753 20.109040 0.129429
1.493764 20.259005 0.129429
1.493784 20.202675 0.129430
1.493874 20.308846 0.129433
1.494358 20.151984 0.129450
1.494431 20.240000 0.129452
1.494507 20.444489 0.129455
1.494898 20.361795 0.129469
1.495309 20.016931 0.129483
1.495730 20.214805 0.129498
1.495797 20.289116 0.129500
1.496308 20.275374 0.129518
1.496544 20.454243 0.129526
1.496701 20.208687 0.129532
1.497142 20.038616 0.129547
1.497247 20.166848 0.129551
1.497308 20.215582 0.129553
1.497663 20.443056 0.129565
1.497762 20.295287 0.129569
1.498004 20.249380 0.129577
1.498112 20.197059 0.129581
1.498164 20.210191 0.129583
1.498298 20.184076 0.129587
1.498369 20.206378 0.129590
1.498373 20.382619 0.129590
1.498466 20.240244 0.129593
1.498609 20.131354 0.129598
1.498859 20.134385 0.129607
1.499114 20.248302 0.129616
1.499452 20.111184 0.129628
1.499485 20.354175 0.129629
1.499563 20.265555 0.129632
1.499789 20.449347 0.129640
1.500148 20.410043 0.129652
1.500689 20.216124 0.129671
1.500715 20.305090 0.129672
1.500908 20.345336 0.129679
1.501016 20.280634 0.129683
1.501462 20.380374 0.129698
1.501885 20.366725 0.129713
1.501922 20.385786 0.129714
1.502096 20.393845 0.129720
1.502198 20.108313 0.129724
1.502811 20.164343 0.129745
1.502903 20.251940 0.129749
1.502910 20.240111 0.129749
1.503204 20.116545 0.129759
1.503216 20.218904 0.129760
1.503231 20.430863 0.129760
1.504267 20.354048 0.129796
1.504322 20.309618 0.129798
1.504338 20.441750 0.129799
1.504680 20.416278 0.129811
1.504806 19.986844 0.129815
1.504873 20.237119 0.129818
1.504975 20.271825 0.129821
1.504988 19.987953 0.129822
1.505066 20.430572 0.129824
1.505123 20.244664 0.129826
1.505221 20.430517 0.129830
1.505850 20.404855 0.129852
1.506041 20.302931 0.129859
1.506563 20.052060 0.129877
1.506623 20.280301 0.129879
1.507147 20.281358 0.129897
1.507388 20.174309 0.129906
1.507408 20.236690 0.129907
1.507519 20.005285 0.129910
1.507541 20.588830 0.129911
1.507549 20.028836 0.129912
1.507714 20.371530 0.129917
1.507853 20.553883 0.129922
1.508639 20.285067 0.129950
1.508752 20.186312 0.129954
1.509376 20.301552 0.129976
1.509383 20.255373 0.129976
1.510088 20.138900 0.130001
1.510277 20.168068 0.130007
1.510617 20.384666 0.130019
1.510745 20.308715 0.130024
1.510864 20.198917 0.130028
1.510969 20.552098 0.130032
1.511988 20.553806 0.130067
1.512008 20.602500 0.130068
1.512215 20.159823 0.130075
1.512354 20.062848 0.130080
1.512438 20.304423 0.130083
1.513178 20.208735 0.130109
1.513543 20.192209 0.130122
1.513564 20.408325 0.130123
1.513622 20.112911 0.130125
1.513648 20.133457 0.130126
1.513773 20.439887 0.130130
1.513854 20.447817 0.130133
1.513964 19.970155 0.130137
1.514129 20.313252 0.130143
1.514230 20.278783 0.130146
1.514419 20.472869 0.130153
1.514844 20.455434 0.130168
1.515170 20.209900 0.130179
1.515405 20.445712 0.130188
1.515454 20.184177 0.130189
1.515532 20.356120 0.130192
1.515781 20.403802 0.130201
1.515887 20.520459 0.130205
1.516238 20.443834 0.130217
1.516267 20.393324 0.130218
1.516435 20.247208 0.130224
1.516459 20.254848 0.130225
1.516664 20.434782 0.130232
1.516686 20.421476 0.130233
1.516789 20.310736 0.130236
1.516887 20.502673 0.130240
1.516939 20.323269 0.130242
1.517472 20.098282 0.130260
1.517588 20.356763 0.130265
1.517832 20.181591 0.130273
1.518302 20.284551 0.130290
1.518334 20.362101 0.130291
1.518506 20.358563 0.130297
1.518714 20.018888 0.130304
1.518747 20.369389 0.130305
1.519152 20.459520 0.130320
1.519482 20.233861 0.130331
1.519484 20.436648 0.130331
1.519560 20.195024 0.130334
1.519845 20.133808 0.130344
1.519895 20.237198 0.130346
1.519921 20.471089 0.130347
1.520131 20.408729 0.130354
1.520489 20.197816 0.130367
1.520494 20.170984 0.130367
1.520719 20.050538 0.130375
1.521390 20.253258 0.130399
1.521405 20.333540 0.130399
1.521489 20.208241 0.130402
1.521576 20.218797 0.130405
1.521663 20.469170 0.130408
1.521772 20.445820 0.130412
1.521775 20.367117 0.130412
1.521809 20.295221 0.130413
1.522556 20.350945 0.130440
1.522663 20.366581 0.130443
1.522722 20.181056 0.130446
1.522873 20.040265 0.130451
